StudentID,RouteName,YearOfStudy,Attendance, Marks
1,0,3,57.34,73
2,0,3,40,44.5
3,0,3,52.45,52.5
4,0,3,76.19,90
5,0,3,26.21,54.5
6,0,3,21.38,23
7,0,3,40,40
8,0,3,69.33,59
9,0,3,76.51,80
10,0,3,63.64,73.5
11,0,3,70.55,83
12,0,3,63.95,42
13,0,3,66.67,72
14,0,3,76.39,73
15,0,3,69.23,47
16,0,3,61.64,86
17,0,3,43.84,44
18,0,3,68.92,95
19,0,3,56.94,48.5
20,0,3,39.73,32.5
21,0,3,56.34,57.5
22,0,3,63.01,59
23,0,3,60.27,54.5
24,0,3,57.82,36.5
25,0,3,51.72,77.5
26,0,3,60.69,77.5
27,0,3,43.15,40
28,0,3,74.48,51.5
29,0,3,64.63,94.5
30,0,3,50,66
31,0,3,45.58,43.5
32,0,3,61.38,50.5
33,1,3,64.39,60
34,1,3,24.19,40
35,1,3,76.64,79.5
36,1,3,82.96,86
37,1,3,78.79,77.5
38,1,3,55.56,72.5
39,1,3,100,24.5
40,1,3,60.9,68
41,1,3,57.89,55.5
42,1,3,89.39,58.5
43,1,3,87.12,60.5
44,1,3,81.34,79.5
45,1,3,70.8,75.5
46,1,3,30.3,64
47,1,3,30.65,55
48,1,3,78.36,72.5
49,1,3,44.7,55
50,1,3,57.89,49.5
51,1,3,56.39,90
52,1,3,31.58,40
53,1,3,53.03,26.5
54,1,3,30.66,40.5
55,1,3,87.12,64.5
56,1,3,75,34
57,1,3,81.95,82.5
58,1,3,25.56,61
59,1,3,49.62,40
60,1,3,64.41,72.5
61,1,3,37.12,50.5
62,1,3,65.15,40
63,1,3,90.91,40
64,1,3,90.91,58.5
65,1,3,48.63,64.5
66,1,3,65.22,67
67,1,3,79.7,55.5
68,1,3,50.74,43.5
69,1,3,74.07,64
70,1,3,64.79,71.5
71,1,3,31.82,59
72,1,3,70.8,50
73,1,3,58.82,40
74,1,3,33.08,61
75,1,3,38.35,54.5
76,1,3,65.52,36.5
77,1,3,54.01,50
78,1,3,70.32,88.5
79,1,3,52.21,45
80,1,3,42.31,78
81,1,3,66.18,57.5
82,1,3,49.33,44.5
83,1,3,78.2,28
84,1,3,66.15,61
85,1,3,48.53,61
86,1,3,20.9,67.5
87,1,3,52.59,64.5
88,1,3,51.02,67
89,1,3,33.08,53.5
90,1,3,34.56,74.5
91,1,3,79.41,40
92,1,3,61.94,56.5
93,1,3,83.09,55.5
94,1,3,58.96,30
95,1,3,55.97,49
96,2,3,71.92,62
97,2,3,52.05,81.5
98,2,3,62.07,49
99,2,3,85.52,80
100,2,3,63.01,57
101,2,3,72.6,57.5
102,2,3,70.55,42.5
103,2,3,45.52,30
104,2,3,72.11,40
105,2,3,59.31,61
106,2,3,74.48,41.5
107,2,3,73.29,58
108,2,3,73.79,63.5
109,2,3,72.79,74
110,2,3,34.93,45
111,2,3,68.97,40
112,2,3,63.7,62.5
113,2,3,80.69,44
114,2,3,36.84,65
115,2,3,80,32
116,2,3,51.37,57.5
117,2,3,80.14,76.5
118,2,3,80.82,49
119,2,3,34.12,54.5
120,2,3,82.88,73.5
121,2,3,82.88,71
122,2,3,70.75,66.5
